Section;Name;Description;Link;For;Size;Use Comma;Comment
Ninth Exodus Are:;;;;;;0;
;Snaketicus;Art, level design, writing, sound design, ambient music, additional spaghetti scripting;https://twitter.com/snaketicus;;;0;
;Shodanon;Lead designer, programming, gameplay design, additional writing, web design;https://twitter.com/shodanon;;;0;
;Baller's Gait;Save system, input system;https://twitter.com/BallerGait;;;0;
Our contributors:;;;;;;0;
;Kody;UI and concept art, additional 3D art and level design;https://twitter.com/KSteakay;;;0;
;Hirotonfa;UI cartoons;https://twitter.com/hirotonfa;;;0;
;Ed Harrison aka 0edit;Composer;https://edharrison.bandcamp.com/;;;0;
;Bogie;Composer;https://bogie02.bandcamp.com/;;;0;
;Daungreid;Composer;https://daungreid.bandcamp.com/;;;0;
;Thrudgel;Testing;https://twitter.com/Thrudgelmir4;;;0;
;Died2Pinwheel;Additional audio;https://soundcloud.com/kraznayazima;;;0;
;Magne;Art;https://twitter.com/bingus_enjoyer;;;0;
;FullAutoWitch;Additional weapon models;https://sketchfab.com/Wingwang;;;0;
;Chief Smokey;Additional textures, models and sounds;https://x.com/ChiefSmokey1;;;0;
;VIIPygmy;Concept art;https://twitter.com/Pygmy_kun;;;0;
Proudly featuring music from:;;;;;;0;
;Junko aka Sewerslvt;;https://sewerslvt.bandcamp.com/;;;0;
;yousei;;https://yousei.bandcamp.com/;;;0;
;Softxoxo's;;https://softxoxos.bandcamp.com/;;;0;
;Joyless;;https://joy-less.bandcamp.com/;;;0;
;guilty forest;;https://slug--boy.bandcamp.com/;;;0;
;salt.bmu;;https://virtualsalt.bandcamp.com/;;;0;
;Eternity Devil;;https://novaturienteccedentesiast.bandcamp.com/;;;0;
;Pisca;;https://pisca.bandcamp.com/;;;0;
;Lotchek;;https://lotchek01.bandcamp.com/;;;0;
;System ST91;;https://systemst91.bandcamp.com/;;;0;
;fumoffumomo;;https://soundcloud.com/fumoffumomo;;;0;
;UHI;;https://ushuhi.bandcamp.com/;;;0;
;System ST91;;https://systemst91.bandcamp.com;;;0;
;Horbror;;https://horbror.bandcamp.com/;;;0;
;Aineth;;https://projectalphaone.bandcamp.com/;;;0;
Special thanks to:;;;;;;0;
;My beautiful wife, for lending her voice to Marie and being so patient with me - Shod;;;;;0;
;The community and everyone who helped and motivated us :] - Snake;;;;;0;
;The friends and family in my life, their virtues and examples - Baller;;;;;0;
;RedKotton_, the fox that lives in my apartment and my grandma - Kody;;;;;0;
;My wife, my family, New England, and my closest hometown buds: Steve, Joe, & Evan - Hiro;;;;;0;
;Lunatic Calm and Yasushi Ishii for the musical inspiration - Bogie;;;;;0;
Super special thanks to:;;;;;;0;
;Engin;;https://twitter.com/Engin_Art;;;1;
;Eltonel;;https://twitter.com/eltonelarts;for early concept art for the game.;;0;
;[gio];;https://twitter.com/stratusgio;;;1;
;1.1e+10;;https://twitter.com/_11e10;;;1;
;1/2 Kordov;;https://www.deviantart.com/coredove;;;1;
;A Stranger in Paradise;;https://twitter.com/4hoDET;;;1;
;Adrick Art.;;https://twitter.com/AdrickArts;;;1;
;Aleksa12.7;;;;;1;
;AlteredNothing;;https://twitter.com/monkeygatart;;;1;
;Aneckdope;;https://twitter.com/aneckdope;;;1;
;anomoly;;https://twitter.com/anomoly520;;;1;
;AntiFleur;;;;;1;
;Argent Moon;;https://twitter.com/MinuraNakatawa;;;1;
;ArtValley;;https://twitter.com/ArtValley6;;;1;
;Berwick;;;;;1;
;Birdy;;https://twitter.com/Birdymp4/;;;1;
;Blubes;;https://www.pixiv.net/en/users/18051160;;;1;
;BoJustBo;;https://twitter.com/BoJustBo1/;;;1;
;Bouncy Boy;;;;;1;
;Broneholm;;https://twitter.com/NOTBRONE;;;1;
;Bushmann;;https://twitter.com/Bushmannerino1;;;1;
;Coolghost;;https://twitter.com/Coolgho47904107;;;1;
;CrankedArrow;;https://twitter.com/ArrowCranked;;;1;
;Crows;;https://twitter.com/FearOfCrows;;;1;
;daanboii;;https://www.tumblr.com/danb0ii;;;1;
;Derk HD;;https://twitter.com/derk_HD;;;1;
;Dethklaus;;https://twitter.com/Dethklaus1;;;1;
;Doekuramori;;https://twitter.com/citadeldev;;;1;
;DRONX;;https://twitter.com/reacunthudini;;;1;
;dvste;;https://twitter.com/swallowing_dust;;;1;
;elf3;;https://twitter.com/russiansiscon;;;1;
;EnkiDorado;;https://twitter.com/EnkiDorado;;;1;
;FantastGD;;https://twitter.com/FantastGD;;;1;
;Fooyepont;;https://twitter.com/Fooyepont;;;1;
;Miss Pearlie;;;;;1;
;Funnel;;https://twitter.com/Futaba_141;;;1;
;Gasmask the 2nd;;https://twitter.com/SgtGasmaskMun;;;1;
;Gattsuchan;;https://twitter.com/gattsuchan;;;1;
;Gloom Flower;;https://twitter.com/GloomFlowerArt;;;1;
;GloomFlower;;https://twitter.com/GloomFlowerArt;;;1;
;Goober Squad Actual;;https://twitter.com/Nonrecycleable;;;1;
;gorgonzola;;;;;1;
;grimsby;;https://twitter.com/impforhire;;;1;
;Haris ;;https://hxxxx.neocities.org/darbai.htm;;;1;
;headpats.anonymous;;;;;1;
;hesiolite;;;;;1;
;HeteroChromia;;;;;1;
;Hurzz;;https://www.instagram.com/hrz.uhi/;;;1;
;Hwat <3;;https://dogcow.net/;;;1;
;iaArt;;https://twitter.com/iaArt1;;;1;
;Impforhire;;https://twitter.com/impforhire;;;1;
;Invader;;https://www.instagram.com/0invader0_art/;;;1;
;Italics;;https://www.tumblr.com/cl-italics;;;1;
;Ivan The Space Gopnik;;https://twitter.com/Ivan_TSG;;;1;
;Jade;;https://twitter.com/gumustdo;;;1;
;jax;;https://twitter.com/jaxsterrapp;;;1;
;Jenny;;;;;1;
;jiahn;;https://www.instagram.com/axoloble/;;;1;
;JKTonshi;;https://twitter.com/JKTonshi;;;1;
;Joey Jazz;;https://twitter.com/JoeyJazzArts;;;1;
;kaizomario1234;;https://twitter.com/hylics;;;1;
;Kat Rubesh;;https://twitter.com/E1dritchQueer;;;1;
;King Macrophage ;;https://twitter.com/King_Macrophage;;;1;
;KitoBurrito;;;;;1;
;Kornod;;https://twitter.com/kornod1;;;1;
;Loachgar;;https://odysee.com/@Loachgar:5;;;1;
;Lochedin;;;;;1;
;Lurz!?;;https://www.instagram.com/dunnomademagic/;;;1;
;Mack Handsome;;;;;1;
;MAD_M;;https://twitter.com/Many_A_Dead_XOX;;;1;
;MagMag;;https://twitter.com/bingus_enjoyer;;;1;
;Magna;;https://twitter.com/magnagallina;;;1;
;mongrel;;https://twitter.com/FearMongrel;;;1;
;Mothership Loudspeakerz;;https://www.youtube.com/channel/UCkwYFBTUDQoenz3SE4u65YQ;;;1;
;Munsplit;;https://twitter.com/munsplit;;;1;
;naitobug;;https://twitter.com/naitobug;;;1;
;Nath Ignat;;https://twitter.com/nath_ignat;;;1;
;Necropoliten;;https://twitter.com/Necropoliten1;;;1;
;Noname Underground;;https://twitter.com/iMax_3d01;;;1;
;NotVeryGouda;;https://twitter.com/GoudaNot;;;1;
;Octa0;;https://twitter.com/Octa016/;;;1;
;p0und;;https://twitter.com/p0und;;;1;
;PabstDaddyArt;;https://twitter.com/PabstArt;;;1;
;pantsu-ripper;;https://twitter.com/pantsu_ripper;;;1;
;Polilla;;https://twitter.com/planetapolilla;;;1;
;prop_hunter;;;;;1;
;protag;;https://twitter.com/HedProtag;;;1;
;radiarts;;https://twitter.com/RadiArts;;;1;
;RaTTuS;;https://twitter.com/RaTTuS_SBO;;;1;
;Robur;;https://twitter.com/The_Robur;;;1;
;ruru;;https://soundcloud.com/youseida;;;1;
;sakotano;;https://twitter.com/sakotano_;;;1;
;ScruffyTurtles;;https://twitter.com/ScruffyTurtles;;;1;
;Senook;;;;;1;
;Shawawa;;https://twitter.com/Shawawa0_0;;;1;
;Sivulla;;https://www.youtube.com/watch?v=Ptgz9hf4Yfk;;;1;
;slotbot;;https://twitter.com/Golpo72017767;;;1;
;smidosn;;https://twitter.com/smidosn;;;1;
;Somerdrop;;https://twitter.com/smrsltdrpkck;;;1;
;SpOo-Kay;;https://twitter.com/KincaidMc;;;1;
;spoot;;https://twitter.com/nkotqn;;;1;
;Spynach;;;;;1;
;SquidyBandit;;;;;1;
;stormdringor;;https://www.instagram.com/stormdringor_t;;;1;
;StraginskiExtra;;https://twitter.com/StraginskiExtra;;;1;
;stromking388;;;;;1;
;wxlfy;;https://twitter.com/stxrwxlfy;;;1;
;Suddenly Lily;;https://twitter.com/Suddenly_Lily;;;1;
;SunlightSeeker;;https://twitter.com/SeekingSolar;;;1;
;supermiau5;;;;;1;
;swag;;;;;1;
;System ST91;;https://twitter.com/SystemST91;;;1;
;tacit_;;https://twitter.com/tacit_xt;;;1;
;The Dandy Gentleman;;https://twitter.com/ThiccDuck8;;;1;
;The Great Avv;;https://twitter.com/TheGreatAvv;;;1;
;Uwil;;https://twitter.com/rytuwil;;;1;
;Unit9461;;https://twitter.com/unit9461;;;1;
;Vatx;;https://twitter.com/Vatx_PL;;;1;
;Vermin's friend;;;;;1;
;WIREGRRRL;;https://twitter.com/wiregrrrl;;;1;
;yuuybee;;https://twitter.com/yuuybee;for amazing fanart;;0;
;Zii Miller;;https://twitter.com/masterzii;for allowing us to name Ion Storm as our inspiration.;;0;
;Stephen Kick;;https://twitter.com/pripyatbeast;for allowing us to name System Shock as our inspiration.;;0;
;Ika;;https://ika.itch.io/;;;1;
;the rest of /agdg/;;;for always providing us with critique.;;0;
;DustZero;;;for the hackerman minigame idea.;;0;
;ACR;;https://twitter.com/high_lethality;for being our weapons consultant.;;0;
;Remov;;https://twitter.com/RemigiuszWilk;;;1;
;CJ;;https://twitter.com/RetroFirearms;for allowing us to use their firearm photos for reference.;;0;
;Boulder Punch;;https://www.youtube.com/c/boulderpunch;;;1;
;Charlatan Wonder;;https://www.youtube.com/c/Attlas93;;;1;
;Dillon Rogers;;https://twitter.com/TafferKing451;;;1;
;Infinitron;;https://rpgcodex.net/;;;1;
;Jack Chapman;;https://twitter.com/ShakaInc;;;1;
;James Cottee;;https://twitter.com/J_Cottee;;;1;
;PC PowerPlay;;https://twitter.com/PCPowerPlay;;;1;
;Jemima Crow and Auroch Digital;;https://twitter.com/Skelpyy;;;1;
;Jessica Harvey;;https://twitter.com/oysterFAKE;;;1;
;Jody Macgregor;;https://twitter.com/jodymacgregor;;;1;
;PC Gamer;;https://www.pcgamer.com/;;;1;
;Lazarus Tegra;;https://twitter.com/LazarusTegra;;;1;
;Looking Glassed;;https://www.youtube.com/channel/UC-YRm-Yfy3d7XiSrPE3RRxg;;;1;
;Papkin;;https://twitter.com/MateuszWitcza14;;;1;
;polskigamedev.pl;;https://polskigamedev.pl/;;;1;
;Perfect Human Interface;;https://www.youtube.com/channel/UCl4IxW2484SzBMzoIIZHHjQ;;;1;
;Ranafe;;https://twitter.com/joannapamieta;;;1;
;CD-Action;;https://cdaction.pl/;;;1;
;Salokin;;https://www.youtube.com/channel/UCN12YlMTtri3_EXAxFhZT3w;;;1;
;Soft & Hollow;;https://bsky.app/profile/em-seq.bsky.social;;;1;
;Tyler McVicker;;https://www.youtube.com/c/TylerMcVicker1;;;1;
;Zach Murphy;;https://twitter.com/E1M1Zach;;;1;
;E1M1 Magazine;;https://twitter.com/E1M1magazine;for noticing us and helping us find our audience.;;0;
;Naitobug;;;;;1;
;Polilla;;;;;1;
;CrankedArrow;;;;;1;
;iaArt;;;;;1;
;Haris;;;;;1;
;Nikivarvar;;;;;1;
;_rhoddie_;;;;;1;
;Ramune;;;;;1;
;Gasmask the 2nd;;;;;1;
;TaDaDu;;;for providing us with graffiti;;0;
;Albazcythe;;https://twitter.com/albazcythe/status/1059498817387745280;for developing Vide Dialogues.;;0;
;Tiago Fernandes;;https://assetstore.unity.com/packages/tools/camera/first-person-view-3-167950;for developing First Person View 3.;;0;
;Keijiro Takahashi;;https://github.com/keijiro;for developing Kino custom post-processing effects.;;0;
;VirtualPierogi;;https://github.com/TheBricktop/Unity2018MarkovSharp;For porting the N-state Markov model into Unity;;0;
;Ryan Warner;;https://github.com/ryantwarner/ditherdown;for creating the DitherDown post-processing effect;;0;
;Aron Granberg;;https://discussions.unity.com/t/how-to-display-a-rectangle-around-a-player/47799;the unsung and unquoted hero of bounding box highlighters in Unity.;;0;
;iPi Soft;;https://ipisoft.com/;for their amazing markerless motion capture solution.;;0;
;Paratype;;https://www.paratype.com/;for making the New Zelek font available;;0;
;Matthew Welch;;https://squaregear.net/fonts/whitrabt.html;for creating the White Rabbit font;;0;
;Brian J. Bonislawsky;;https://github.com/librefonts/audiowide;for creating the Audiowide font;;0;
;Nicolas Coronado;;https://draconiansolo.wordpress.com/;for creating the Draconian Typewriter font;;0;
;willemsenzo;;https://forum.unity.com/threads/generating-a-simple-sinewave.471529/#post-3074309;;;1;
;JohanAR;;https://forum.unity.com/threads/generating-a-simple-sinewave.471529/#post-6096150;for the sine wave audio generator;;0;
;The Peripeteia discord community;;https://90s.graphics/discord/;for being so based.;;0;
;Mamoru Oshii;;;;;1;
;Zdzislaw Beksinski;;;;;1;
;Tsutomu Nihei;;;;;1;
;Viktor Antonov;;;;;1;
;Yoshitoshi Abe;;;for inspiring our art.;;0;
;Warren Spector;;https://www.gamasutra.com/view/feature/3114/postmortem_ion_storms_deus_ex.php;;;1;
;Harvey Smith; ;http://www.witchboy.net/articles/the-future-of-game-design-moving-beyond-deus-ex-and-other-dated-paradigms/;for coining the immersive sim design philosophy and creating a legacy we hope to live up to.;;0;
;Other indie immersive sim devs;;https://docs.google.com/spreadsheets/d/1LVnjeBzmVBbOnH3dS2cFh7fqcG-1ijm2nGI65wM4oME/edit#gid=0;for keeping the legacy alive.;;0;
;And anyone who gave us their kind words and harsh critique over the years;;;;;;
